Price,Year,Kilometer,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Make,Location,Fuel Type
505000,2017,87150,3990.0,1680.0,1505.0,5.0,35.0,Honda,Pune,Petrol
450000,2014,75000,3995.0,1695.0,1555.0,5.0,42.0,Maruti Suzuki,Ludhiana,Diesel
220000,2011,67000,3585.0,1595.0,1550.0,5.0,35.0,Hyundai,Lucknow,Petrol
799000,2019,37500,3995.0,1745.0,1510.0,5.0,37.0,Toyota,Mangalore,Petrol
1950000,2018,69000,4735.0,1830.0,1795.0,7.0,55.0,Toyota,Mumbai,Diesel
675000,2017,73315,4490.0,1730.0,1485.0,5.0,43.0,Maruti Suzuki,Pune,Petrol
2650000,2017,75000,4439.0,1821.0,1612.0,5.0,51.0,BMW,Coimbatore,Diesel
1390000,2017,56000,4670.0,1814.0,1476.0,5.0,50.0,Skoda,Mumbai,Petrol
575000,2015,85000,4331.0,1822.0,1671.0,5.0,50.0,Nissan,Mumbai,Diesel
591000,2017,20281,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Mumbai,Petrol
459999,2018,22541,3679.0,1579.0,1478.0,5.0,28.0,Renault,Bangalore,Petrol
1075000,2019,30672,4490.0,1730.0,1485.0,5.0,43.0,Maruti Suzuki,Bangalore,Petrol
1695000,2019,20856,4598.0,1894.0,1706.0,5.0,50.0,Tata,Bangalore,Diesel
944999,2017,41417,3971.0,1682.0,1469.0,5.0,45.0,Volkswagen,Bangalore,Petrol
569000,2016,11471,3695.0,1600.0,1560.0,5.0,35.0,Maruti Suzuki,Bangalore,Petrol
449000,2019,3583,3445.0,1515.0,1475.0,5.0,35.0,Maruti Suzuki,Bangalore,Petrol
894999,2018,21365,3995.0,1745.0,1510.0,5.0,37.0,Maruti Suzuki,Bangalore,Petrol
699000,2020,30777,3655.0,1620.0,1675.0,5.0,32.0,Maruti Suzuki,Bangalore,Petrol
740000,2016,60125,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Delhi,Petrol
470000,2020,2169,3565.0,1520.0,1564.0,5.0,27.0,Maruti Suzuki,Mumbai,Petrol
765000,2015,60240,4384.0,1699.0,1466.0,5.0,55.0,Volkswagen,Bangalore,Petrol
589000,2018,13772,3610.0,1645.0,1560.0,5.0,35.0,Hyundai,Bangalore,Petrol
999000,2019,27464,3995.0,1770.0,1605.0,5.0,45.0,Hyundai,Bangalore,Petrol
325000,2013,23086,3775.0,1680.0,1620.0,5.0,43.0,Maruti Suzuki,Mumbai,Petrol
1175000,2019,36313,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Mumbai,Petrol
351000,2014,39276,3610.0,1680.0,1500.0,5.0,35.0,Honda,Mumbai,Petrol
551000,2015,47752,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Mumbai,Petrol
819999,2018,27963,3999.0,1734.0,1601.0,5.0,40.0,Honda,Delhi,Petrol
990000,2020,24013,3995.0,1770.0,1605.0,5.0,45.0,Hyundai,Mumbai,Petrol
925000,2016,66000,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Raipur,Diesel
535000,2015,28000,3999.0,1765.0,1708.0,5.0,52.0,Ford,Mumbai,Petrol
409000,2018,27069,3746.0,1647.0,1535.0,5.0,35.0,Tata,Mumbai,Petrol
490000,2018,43000,3992.0,1677.0,1537.0,5.0,35.0,Tata,Patna,Diesel
1900000,2019,71000,4735.0,1830.0,1795.0,8.0,55.0,Toyota,Mumbai,Diesel
3850000,2017,45600,4656.0,1890.0,1639.0,5.0,66.0,Mercedes-Benz,Mumbai,Diesel
1125000,2018,60000,4270.0,1780.0,1665.0,5.0,55.0,Hyundai,Patna,Diesel
2300000,2014,105101,4804.0,2141.0,1796.0,5.0,70.0,Mercedes-Benz,Vadodara,Diesel
1095000,2016,45000,4620.0,1775.0,1475.0,5.0,55.0,Toyota,Mumbai,Petrol
1575000,2013,66000,4701.0,1826.0,1427.0,5.0,63.0,Audi,Hyderabad,Diesel
2400000,2010,34105,4082.0,1777.0,1297.0,2.0,70.0,Mercedes-Benz,Mumbai,Petrol
525000,2015,68397,3985.0,1734.0,1505.0,5.0,45.0,Hyundai,Patna,Petrol
625000,2015,65000,3920.0,1726.0,1930.0,6.0,60.0,Mahindra,Yamunanagar,Diesel
605000,2019,27469,3995.0,1745.0,1500.0,5.0,37.0,Maruti Suzuki,Delhi,Petrol
412000,2016,41058,3600.0,1600.0,1560.0,5.0,35.0,Maruti Suzuki,Delhi,Petrol
625000,2016,51330,4490.0,1730.0,1485.0,5.0,43.0,Maruti Suzuki,Mumbai,Diesel
511000,2015,45969,4490.0,1730.0,1485.0,5.0,43.0,Maruti Suzuki,Mumbai,Petrol
1150000,2017,66602,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Mumbai,Diesel
885000,2016,57983,4270.0,1780.0,1630.0,5.0,60.0,Hyundai,Mumbai,Petrol
470000,2019,11183,3679.0,1579.0,1478.0,5.0,28.0,Renault,Mumbai,Petrol
1611000,2019,46301,4655.0,1835.0,1760.0,5.0,60.0,MG,Mumbai,Diesel
475000,2017,34867,3746.0,1647.0,1535.0,5.0,35.0,Tata,Mumbai,Petrol
865000,2015,43634,4585.0,1765.0,1760.0,7.0,55.0,Toyota,Delhi,Diesel
3800000,2018,9512,4657.0,1881.0,1678.0,5.0,67.0,BMW,Mumbai,Diesel
2475000,2020,11293,4395.0,1818.0,1640.0,5.0,60.0,Jeep,Mumbai,Diesel
400000,2014,78000,4430.0,1817.0,1975.0,8.0,60.0,Mahindra,Gurgaon,Diesel
440000,2016,50374,3610.0,1680.0,1500.0,5.0,35.0,Honda,Vadodara,Petrol
2800000,2017,15900,4633.0,1811.0,1429.0,5.0,57.0,BMW,Delhi,Petrol
645000,2017,64000,4440.0,1695.0,1495.0,5.0,40.0,Honda,Mumbai,Petrol
365000,2013,78000,3970.0,1682.0,1453.0,5.0,45.0,Volkswagen,Jaipur,Diesel
1044999,2021,24000,3995.0,1790.0,1640.0,5.0,48.0,Maruti Suzuki,Mumbai,Petrol
515000,2019,40310,3675.0,1475.0,1800.0,7.0,40.0,Maruti Suzuki,Pune,Petrol
455000,2015,69700,3765.0,1660.0,1520.0,5.0,43.0,Hyundai,Mumbai,Petrol
1800000,2012,74073,4648.0,1881.0,1661.0,5.0,67.0,BMW,Hyderabad,Diesel
3499000,2019,73000,4795.0,1855.0,1835.0,7.0,80.0,Toyota,Mumbai,Diesel
190000,2006,130000,4545.0,1750.0,1450.0,5.0,50.0,Honda,Deoghar,Petrol
775000,2021,24000,3845.0,1735.0,1530.0,5.0,37.0,Maruti Suzuki,Agra,Petrol
825000,2021,43000,3995.0,1775.0,1505.0,5.0,37.0,Hyundai,Agra,Diesel
2250000,2016,40500,4456.0,1796.0,1416.0,5.0,50.0,Audi,Goa,Diesel
865000,2017,49013,4440.0,1695.0,1495.0,5.0,40.0,Honda,Mumbai,Petrol
